record,phase,start,end,est,ref,abs_err,err,sqa_ok,iscore,sqa_tier,sqa_stage,config
x003,2-Back,1664.26171875,1696.26171875,11.25,10.820534168137392,0.42946583186260767,0.42946583186260767,True,0.9799084280845273,diag,3,psd 10-45
x003,2-Back,1696.26171875,1728.26171875,11.25,7.722860008537978,3.527139991462022,3.527139991462022,True,0.9824652248362218,diag,3,psd 10-45
x003,2-Back,1728.26171875,1760.26171875,20.625,8.243955312203695,12.381044687796305,12.381044687796305,True,0.9734646600988687,diag,3,psd 10-45
x003,2-Back,1760.26171875,1792.26171875,11.25,10.84170603935727,0.40829396064273027,0.40829396064273027,True,0.989959706135296,diag,3,psd 10-45
x003,2-Back,1792.26171875,1824.26171875,11.25,9.7842914234279,1.4657085765720996,1.4657085765720996,True,0.9414052634901279,diag,3,psd 10-45
x003,2-Back,1824.26171875,1856.26171875,26.25,22.53138371996587,3.71861628003413,3.71861628003413,True,0.9420918906212254,diag,3,psd 10-45
x003,2-Back,1856.26171875,1888.26171875,35.625,29.170450061686488,6.454549938313512,6.454549938313512,True,0.9254704501030644,diag,3,psd 10-45
x003,2-Back,1888.26171875,1920.26171875,22.5,24.55326685545596,2.053266855455959,-2.053266855455959,True,0.9854395534288093,diag,3,psd 10-45
x003,2-Back,1920.26171875,1952.26171875,24.375,23.540365927327947,0.8346340726720527,0.8346340726720527,True,0.9828006206739792,diag,3,psd 10-45
x003,2-Back,1952.26171875,1984.26171875,16.875,17.003928042275035,0.12892804227503518,-0.12892804227503518,True,0.9800118290082762,diag,3,psd 10-45
x003,2-Back,1984.26171875,2016.26171875,16.875,19.703684189537036,2.828684189537036,-2.828684189537036,True,0.9826671519147463,diag,3,psd 10-45
x003,2-Back,2016.26171875,2048.26171875,15.0,16.52306360142542,1.5230636014254202,-1.5230636014254202,True,0.9840908053155524,diag,3,psd 10-45
x003,2-Back,2048.26171875,2080.26171875,11.25,16.599709228132042,5.349709228132042,-5.349709228132042,True,0.9617566900792921,diag,3,psd 10-45
x003,Running,2080.26171875,2112.26171875,11.25,26.284337890266393,15.034337890266393,-15.034337890266393,True,0.8167714751242353,diag,3,psd 10-45
x003,Running,2112.26171875,2144.26171875,24.375,24.11801861522173,0.25698138477827115,0.25698138477827115,True,0.6237105830379995,hr,3,psd 10-45
